has_expired,job_type,sector,state,uniq_id,Category
No,full time,IT,WI,11d599f229a80023d2f40e7c52cd941e,IT
No,full time,Experienced ,CA,58435fcab804439efdcaa7ecca0fd783,Other
No,full time,Project,PA,64d0272dc8496abfd9523a8df63c184c,Development
No,full time,Experienced ,VA,1e2637cb5f7a2c4615a99a26c0566c66,Other
No,full time,Experienced ,TX,549a0541e4452ecd155efc032aaa72d7,Other
No,part time,Customer Support,TX,a6a2b5e825b8ce1c3b517adb2497c5ed,Communications
No,full time,Customer Support,VA,2f8bdf60db4d85627ab8f040e67aa78d,Communications
No,full time,Customer Support,IN,3a2adeacbf35985a508f630661eebb43,Communications
No,full time,Entry Level,TX,b43c077756d5a326c4854e1399fd2464,General
No,full time,Building Construction,TX,d8491fcefe14d1398de419984dccf427,Construction
No,full time,Installation,CO,8d8f39de4a07929a92c2e6dd7a72a0af,Engineering
No,full time,Experienced ,MA,426ea422646470737cb364453e94f38a,Other
No,full time,Business,TX,9331cb7b561348a692f7afc58ac78926,Business
No,full time,Accounting,TX,98fe0175cd3ff1d6fb6a288bc524d7b9,Accounting
No,full time,Customer Support,TX,de49594f00f4af8c1e0fbffd85120208,Communications
No,full time,Experienced ,IL,7acc0ab84a0d47b6a704a827973df111,Other
No,full time,Experienced ,DC,c502773af0a9fe5e1a3373f09f9cb9d7,Other
No,full time,Experienced ,PA,d1b78f7f4b2001582366c5a7941ed28c,Other
No,full time,Business,TX,9b9909d9b767574adc8f8e51cc4667a5,Business
No,full time,Experienced ,WV,eea9b50afc4fece9f9d6ff0dbf659784,Other
No,full time,Experienced ,CO,1f2da47e60173c6667395f081c048713,Other
No,full time,Entry Level,CO,218b1fcde8264f6aa454aa823aa13780,General
No,full time,Business,TX,ac2da666b68583ed3c3cc4eaee869eb1,Business
No,full time,Accounting,CO,5b5bc24bc84bfa562e2a1851a93478a0,Accounting
No,full time,Marketing,TX,4333b6abfff1445594a05884dc79950b,Marketing
No,full time,Engineering,OH,09d6bb4a621e77f2e9eb481b023591c8,Engineering
No,full time,Experienced ,TX,bcf70c41acf97ac8024c0b38c6fcaf87,Other
No,full time,Experienced ,TX,54b3bb1da783d46a5b4db82995ff357f,Other
No,full time,Experienced ,CA,6d01d5ecd8f9a5d605935b609e5183c0,Other
No,part time,Editorial,UT,93b4ec0f424b532fb0beebba0c51bef9,Creative
No,full time,Manager ,TX,f15dfb5ad12ddb6acb8a26eb04f2220f,Management
No,full time,Experienced ,TX,9818fc5a835f1ac68bdf41b69349101e,Other
No,full time,Experienced ,TX,4bff3407b695b2751f075772512d5455,Other
No,full time,Experienced ,NJ,ea722c991c6d3816965702948e320cb6,Other
No,full time,Administrative,TX,633d5b71056e9e6a805e76f897c3195f,Administration
No,full time,Experienced ,TX,667e0f1a3b646a3d9abd7ac096868b2c,Other
No,full time,Student ,FL,c1d0dbd6737d53a216142edab3277a43,Education
No,full time,Experienced ,CO,3c2f7c555173e04db07a96b23c1be974,Other
No,part time,Customer Support,ND,2f9e2894fbff2bddd6864444b9a81e75,Communications
No,full time,Experienced ,AZ,22c5f43c33a2ff488bb8f78c3685e3c3,Other
No,full time,Biotech,CO,8db929cfb3be45da28f3fa6127fa3cd1,Medical
No,full time,Engineering,OH,340c6fbd99cfdd43b224096e36ca66f3,Engineering
No,full time,Manager ,OH,e7ff8cfdb20f6dc7dc442ccd212d7aa7,Management
No,full time,Experienced ,TX,95789a11a9491977f731342425d4d6ce,Other
No,full time,Editorial,VA,a08a3b7173c7481a687ef30d2d2fb554,Creative
No,full time,Manager ,CO,a309736fa99da07b91f267531a24f924,Management
No,full time,Experienced ,PA,84422981a6356a19a6a4b53aa460e028,Other
No,full time,Engineering,MA,9dc0503aeddfe5f4eff7492f47281ffa,Engineering
No,full time,Experienced ,PA,52f7d4572c2b5123b99b03b2bb9dd239,Other
No,full time,Experienced ,CO,348cbd3083dc417b90c49a55c7ae019e,Other
No,full time,Customer Support,MN,8cfbe90fc6f49ed1055094f8d55a6be3,Communications
No,full time,Experienced ,TX,e604181adbc6c97d99ea4d555c09fbf5,Other
No,full time,Engineering,SC,3ddf02ca620d71fb77517ec4dc47a77f,Engineering
No,full time,IT,CO,5091d726fbce4a824fe6a1d49458ad4a,IT
No,full time,Sales,TX,e52d5e30ecdf97dd64a44f45bfc2032b,Finances
No,full time,Experienced ,CO,c639b20ed01b45b3f3aff1ef58a5d9ce,Other
No,full time,General,IL,1670bab124bbe35985e761939c4cbb6b,General
No,full time,Experienced ,CO,55921bac6a43cc7665dc240466d9a625,Other
No,part time,Customer Support,MI,ed3a0136b8c7b78144c18124d9d3263f,Communications
No,full time,Medical,TX,7360cf3dfe7a22d8dfc4badd53cf13fb,Medical
No,full time,IT,CO,2d104bbd93a493c59478dbf9e94ae21f,IT
No,full time,Experienced ,FL,e721f028a907b34a8074391e62c6752e,Other
No,full time,Marketing,TX,4b8d7a4b2f7449a446a423a47fab633c,Marketing
No,full time,Sales,CO,54dc9611cf656d3261364305193ee9af,Finances
No,full time,Experienced ,CA,9920acf73c2949203af3d3f5365b4537,Other
No,full time,Education,TX,3a2b07088cad0b400deeed6e29787197,Education
No,full time,Entry Level,TX,fd8ae1e47a0eb5f1553bfe7571adb3f7,General
No,full time,Administrative,TX,13402b2e978e232f7f54e4cf5c59a6e6,Administration
No,full time,Experienced ,CO,1079d87632176d8e398a0972008235bd,Other
No,full time,Manager ,CO,2c245cd613ea74d1c076f8e027f6d734,Management
No,full time,General,TX,23cee634f2fa5a33474dc32a238d6422,General
No,full time,IT,TX,1127457851cf28d79a39fd4b35867982,IT
No,full time,Brand,TX,edbe10f342ea737f709ae441b4a335aa,Business
No,full time,Education,TX,986f2fb10575a7643fdcd41301c52c4d,Education
No,full time,Experienced ,TX,c8809c7fd620d50614d601f3c49b7e52,Other
No,full time,Engineering,WI,de91f7198b39d59987c652990c920d76,Engineering
No,full time,Experienced ,FL,e3fc21fada6bacd172326dae8dba425c,Other
No,full time,Customer Support,TN,a6fc19ec024fd1842f8ee98a3f311f2a,Communications
No,full time,Experienced ,CA,3048cd3f183104b64597a0be25b1c445,Other
No,part time,Sales,TX,e86c60634e21bf7e9e4d897e178da765,Finances
No,full time,Experienced ,TX,019e1a6a6dd219c757275b58caa3b9c0,Other
No,full time,Experienced ,CO,d5fc3473ab5b7e8c3b15859974d61f95,Other
No,full time,Manager ,TX,8269f9014fe3adfe2ebbdae58921b6ae,Management
No,full time,Experienced ,PA,55addf3dddd78e335f4463938eb8c29d,Other
No,full time,Entry Level,CO,004e158984e36127d06f028766124095,General
No,full time,General,CA,34d1eb919d3fa0f8783658de035afeae,General
No,full time,Customer Support,CO,c76459c6a16425dcf473a4ccf5bdee33,Communications
No,full time,Experienced ,CO,78fbaa3187a9a3d213408fb85d083eb0,Other
No,full time,Experienced ,OH,42b6b5f9d7551868145e4a009f9135c6,Other
No,full time,Medical,CO,cac3cc39d33bd24371f37a9621d3fdc2,Medical
No,full time,Entry Level,UT,5b7a861fcce9e4036c97aaa19b003c9d,General
No,full time,Executive ,CO,ed1ca00bd2c23bc79e3cc7a22c4ef469,Business
No,full time,Experienced ,TX,c84af88e9051234255afba09613c4718,Other
No,full time,Manager ,OH,f2a87075b3c8b9de5bd9c574718e24e6,Management
No,full time,Entry Level,CO,72ad4d4b476232353a76467587a1408e,General
No,full time,Building Construction,TX,047c53ea5122a2821a134586256dc36d,Construction
No,full time,Experienced ,IN,56a3eddfac23ab7ad7929c6202d60519,Other
No,full time,Experienced ,MA,81059abda69c0cfca062d718880f74fd,Other
No,full time,Engineering,TX,23f540dd068d441d3b69577698687694,Engineering
No,full time,Building Construction,TX,4bdb37e7a38b977ab6fbf4f57b03b603,Construction
No,full time,Experienced ,MA,debaedf9a5d2eb7ae49941f35d155bb3,Other
No,full time,Experienced ,TX,ce07a03b6d309d11388fd87c20b91e2e,Other
No,full time,Experienced ,TN,7ea8e37e8cd757efa5b5ec7021683e3c,Other
No,full time,Customer Support,FL,83f2960431db62fa2e736e6df2b9122c,Communications
No,full time,Installation,CO,91237f427f0dd36802efe366adb2f54d,Engineering
No,full time,Accounting,CO,5c6a58de4506c34ed75fb0663ff5785f,Accounting
No,full time,Experienced ,TX,a173817208f99313a6f6509da4ee306f,Other
No,full time,Experienced ,CO,c92108d3daed410061567fe057da755b,Other
No,full time,Engineering,WI,eb3367b05d4441f1e5ef2f6ada9e666b,Engineering
No,full time,Experienced ,CO,43f24059402b0fe9bc76950715c4eafc,Other
No,full time,Experienced ,MI,b951b12a063bcf84f8760888491e42a1,Other
No,full time,Experienced ,MN,e3c1c087a29e83d6537556a5cf91b783,Other
No,full time,Experienced ,CO,95307be37377689c24742285e229ce02,Other
No,full time,Customer Support,PA,f75e9acecdad3e7cd7671c972d745991,Communications
No,full time,Experienced ,CO,bd8b23f37dfcabd86f7aa0c1c638acf5,Other
No,full time,IT,CO,70db27baa32e58769fa5134772393dfb,IT
No,full time,Installation,TX,f488cc5064010d6b8579237a9f843234,Engineering
No,part time,Customer Support,MN,926f34d56cf936d55297d0c2542e7e7e,Communications
No,full time,Experienced ,NJ,529415fbb31f64bdddf069cf8a3e6beb,Other
No,full time,Accounting,CO,cf84dd904518996e1c46c1e612b40c0c,Accounting
No,full time,General,GA,bd07b9a49a8103244d5a751b0fdb252c,General
No,full time,Banking,TX,13b2d9abf8ee8a5e07ab4b1a306ff04e,Finances
No,full time,Experienced ,VA,0cf21bbf60a2b17b3fe5271be78a39b2,Other
No,full time,Editorial,TX,a26f661ee6d508734913e1d53fccf66f,Creative
No,full time,Accounting,TX,b9deccafeb1ff876a539fed05f859cd5,Accounting
No,full time,Experienced ,TX,5d7fb5e2c557872cc1ecbb3682d9f489,Other
No,full time,Experienced ,TN,0cabe2d9cf1bcf6d9b767970770428b3,Other
No,full time,Medical,TX,69cbac70b44442629df99582ef8ea14d,Medical
No,full time,Engineering,OH,55ebe167cebf7fa9384e97ac96da1ad8,Engineering
No,full time,Experienced ,OR,a47ef3282e17d37601be68a3d3160896,Other
